unique_id	citing_ACL_id	citing_title	cited_title	cited_authors	section_title	citation_context	cite_context_paragraph	citation_object	citation_function	aclarc_label
CC1	A00-1009	A framework for MT and multilingual NLG systems based on uniform lexico-structural processing	a fast and portable realizer for text generation systems	['B Lavoie', 'Rambow']	related work	The framework was originally developed for the realization of deep-syntactic structures in NLG ( [CITED_AUTHOR] ) .	['The framework represents a generalization of several predecessor NLG systems based on Meaning-Text Theory: FoG (Kittredge and Polgu~re, 1991), LFS (Iordanskaja et al., 1992), and JOYCE (Rambow and Korelsky, 1992).', 'The framework was originally developed for the realization of deep-syntactic structures in NLG ( [CITED_AUTHOR] ) .']	Performed Work	Contextualize	0
CC10	A00-1020	Multilingual coreference resolution	knowledgelean coreference resolution and its relation to textual cohesion and coherence	['Sanda M Harabagiu', 'Steve J Maiorano']	related work	For this research , we used a coreference resolution system ( ( [CITED_AUTHOR] ) ) that implements different sets of heuristics corresponding to various forms of coreference .	['Currently, some of the best-performing and most robust coreference resolution systems employ knowledge-based techniques.', 'Traditionally, these techniques have combined extensive syntactic, semantic, and discourse knowledge.', 'The acquisition of such knowledge is time-consuming, difficult, and error-prone.', 'Nevertheless, recent results show that knowledge-poor methods perform with amazing accuracy (cf.', '(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).', 'For example, CogNIAC (Baldwin, 1997), a system based on seven ordered heuristics, generates high-precision resolution (over 90%) for some cases of pronominal reference.', 'For this research , we used a coreference resolution system ( ( [CITED_AUTHOR] ) ) that implements different sets of heuristics corresponding to various forms of coreference .', 'This system, called COCKTAIL, resolves coreference by exploiting several textual cohesion constraints (e.g. term repetition) combined with lexical and textual coherence cues (e.g.', 'subjects of communication verbs are more likely to refer to the last person mentioned in the text).', 'These constraints are implemented as a set of heuristics ordered by their priority.', 'Moreover, the COCKTAIL framework uniformly addresses the problem of interaction between different forms of coreference, thus making the extension to multilingual coreference very natural.']	Produced Resource	Use	5
CC100	D10-1101	Extracting Opinion Targets in a Single-and Cross-Domain Setting with Conditional Random Fields	biographies bollywood boomboxes and blenders domain adaptation for sentiment classification	['John Blitzer', 'Mark Dredze', 'Fernando Pereira']	experiments	Our results also confirm the insights gained by [CITED_AUTHOR] , who observed that in crossdomain polarity analysis adding more training data is not always beneficial .	['Our results also confirm the insights gained by [CITED_AUTHOR] , who observed that in crossdomain polarity analysis adding more training data is not always beneficial .', 'Apparently even the smallest training dataset (cameras) contain enough feature instances to learn a model which performs well on the testing data.']	Discovery	Justify Design Choice	1
CC1000	P00-1012	The order of prenominal adjectives in natural language generation	ordering among premodifiers	['James Shaw', 'Vasileios Hatzivassiloglou']	experiments	The simplest strategy for ordering adjectives is what [CITED_AUTHOR] call the direct evidence method .	['The simplest strategy for ordering adjectives is what [CITED_AUTHOR] call the direct evidence method .', 'To order the pair {a, b}, count how many times the ordered sequences a, b and b, a appear in the training data and output the pair in the order which occurred more often.']	Produced Resource	Justify Design Choice	0
CC1001	P00-1012	The order of prenominal adjectives in natural language generation	boosting applied to tagging and pp attachment	['Steven Abney', 'Robert E Schapire', 'Yoram Singer']	conclusion	In particular , boosting ( Schapire , 1999 ; [CITED_AUTHOR] ) offers the possibility of achieving high accuracy from a collection of classifiers which individually perform quite poorly .	['The second area where the methods described here could be improved is in the way that multiple information sources are integrated.', 'The technique method described in section 3.7 is a fairly crude method for combining frequency information with symbolic data.', 'It would be worthwhile to investigate applying some of the more sophisticated ensemble learning techniques which have been proposed in the literature (Dietterich, 1997).', 'In particular , boosting ( Schapire , 1999 ; [CITED_AUTHOR] ) offers the possibility of achieving high accuracy from a collection of classifiers which individually perform quite poorly .']	Produced Resource	Signal Gap	3
CC1002	P00-1012	The order of prenominal adjectives in natural language generation	ordering among premodifiers	['James Shaw', 'Vasileios Hatzivassiloglou']	experiments	[CITED_AUTHOR] propose to generalize the direct evidence method so that it can apply to unseen pairs of adjectives by computing the transitive closure of the ordering relation .	['One way to think of the direct evidence method is to see that it defines a relation ‚â∫ on the set of English adjectives.', 'Given two adjectives, if the ordered pair a, b appears in the training data more often then the pair b, a , then a ‚â∫ b.', 'If the re-verse is true, and b, a is found more often than a, b , then b ‚â∫ a.', 'If neither order appears in the training data, then neither a ‚â∫ b nor b ‚â∫ a and an order must be randomly assigned.', '[CITED_AUTHOR] propose to generalize the direct evidence method so that it can apply to unseen pairs of adjectives by computing the transitive closure of the ordering relation .', 'That is, if a ‚â∫ c and c ‚â∫ b, we can conclude that a ‚â∫ b.', 'To take an example from the BNC, the adjectives large and green never occur together in the training data, and so would be assigned a random order by the direct evidence method.', 'However, the pairs large, new and new, green occur fairly frequently.', 'Therefore, in the face of this evidence we can assign this pair the order large, green , which not coincidently is the correct English word order.']	Performed Work	Justify Design Choice	0
CC1003	P00-1012	The order of prenominal adjectives in natural language generation	generation that exploits corpusbased statistical knowledge	['Irene Langkilde', 'Kevin Knight']	method	One approach to this more general problem , taken by the ` Nitrogen ' generator ( [CITED_AUTHOR]a ; Langkilde and Knight , 1998b ) , takes advantage of standard statistical techniques by generating a lattice of all possible strings given a semantic representation as input and selecting the most likely output using a bigram language model .	['The problem of generating ordered sequences of adjectives is an instance of the more general problem of selecting among a number of possible outputs from a natural language generation system.', "One approach to this more general problem , taken by the ` Nitrogen ' generator ( [CITED_AUTHOR]a ; Langkilde and Knight , 1998b ) , takes advantage of standard statistical techniques by generating a lattice of all possible strings given a semantic representation as input and selecting the most likely output using a bigram language model .", 'Langkilde and Knight report that this strategy yields good results for problems like generating verb/object collocations and for selecting the correct morphological form of a word.', 'It also should be straightforwardly applicable to the more specific problem we are addressing here.', 'To determine the correct order for a sequence of prenominal adjectives, we can simply generate all possible orderings and choose the one with the highest probability.', 'This has the advantage of reducing the problem of adjective ordering to the problem of estimating n-gram probabilities, something which is relatively well understood.']	Produced Resource	Contextualize	5
CC1004	P02-1001	Parameter estimation for probabilistic finite-state transducers	translation with finitestate devices	['Kevin Knight', 'Yaser Al-Onaizan']	introduction	Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( Pereira and Riley , 1997 ) and machine translation ( [CITED_AUTHOR] ) .	['The availability of toolkits for this weighted case (Mohri et al., 1998;van Noord and Gerdemann, 2001) promises to unify much of statistical NLP.', "Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( Pereira and Riley , 1997 ) and machine translation ( [CITED_AUTHOR] ) .", 'Moreover, once the models are expressed in the finitestate framework, it is easy to use operators to tweak them, to apply them to speech lattices or other sets, and to combine them with linguistic resources.']	Produced Resource	Contextualize	0
CC1005	P02-1001	Parameter estimation for probabilistic finite-state transducers	a rational design for a weighted finitestate transducer library	['M Mohri', 'F Pereira', 'M Riley']	method	f√é¬∏ on demand ( [CITED_AUTHOR] ) can pay off here , since only part of f√é¬∏ may be needed subsequently . )	['Here one defines each arc weight, coin weight, or regexp weight in terms of meaningful features associated by hand with that arc, coin, etc.', 'Each feature has a strength ∈ R>0, and a weight is computed as the product of the strengths of its features.', '10 Traditionally log(strength) values are called weights, but this paper uses "weight" to mean something else.', 'f√é¬∏ on demand ( [CITED_AUTHOR] ) can pay off here , since only part of f√é¬∏ may be needed subsequently . )', 'It is now the strengths that are the learnable parameters.', 'This allows meaningful parameter tying: if certain arcs such as u:i−→,o:e−→, and a:ae−→ share a contextual “vowel-fronting” feature, then their weights rise and fall together with the strength of that feature.']	Produced Resource	Justify Design Choice	0
CC1006	P02-1001	Parameter estimation for probabilistic finite-state transducers	rational series and their languages	['Jean Berstel', 'Christophe Reutenauer']	method	[CITED_AUTHOR] give a sufficiently general finite-state framework to allow this : weights may fall in any set K ( instead of R ) .	['The denominator of equation ( 1) is the total probability of all accepting paths in x i ‚Ä¢ f ‚Ä¢ y i .', 'But while computing this, we will also compute the numerator.', 'The idea is to augment the weight data structure with expectation information, so each weight records a probability and a vector counting the parameters that contributed to that probability.', 'We will enforce an invariant: the weight of any pathset Œ† must be ( œÄ‚ààŒ† P (œÄ), œÄ‚ààŒ† P (œÄ) val(œÄ)) ‚àà R ‚â•0 √ó V , from which (1) is trivial to compute.', '[CITED_AUTHOR] give a sufficiently general finite-state framework to allow this : weights may fall in any set K ( instead of R ) .', 'Multiplication and addition are replaced by binary operations ‚äó and ‚äï on K. Thus ‚äó is used to combine arc weights into a path weight and ‚äï is used to combine the weights of alternative paths.', 'To sum over infinite sets of cyclic paths we also need a closure operation * , interpreted as k * = ‚àû i=0 k i .', 'The usual finite-state algorithms work if (K, ‚äï, ‚äó, * ) has the structure of a closed semiring. 15', 'rdinary probabilities fall in the semiring (R ‚â•0 , +, √ó, * ). 16', 'Our novel weights fall in a novel 14 Formal derivation of (1):']	Produced Resource	Use	5
